Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2015-06-24,42.50120544433594,42.74874296033371,42.38118803515419,42.50120544433594,19235500
2015-06-25,42.14866638183594,42.801263933236065,42.1411665432707,42.74875647895444,12176200
2015-06-26,42.26117706298828,42.493712080576834,42.08114949107437,42.3586921170017,12148300
2015-06-29,41.166019439697266,41.72109899240102,41.143514203845115,41.286036872290616,22260400
2015-06-30,41.43605041503906,41.76609756791539,41.1135030981969,41.64608016128393,17737400
2015-07-01,41.7661018371582,42.013636511757745,41.43605465054515,42.013636511757745,17606100
2015-07-02,41.533573150634766,41.89362546207275,41.308540813666205,41.57858076260504,12062800
2015-07-06,41.3160400390625,41.44355730342743,40.880975077589056,41.09850755832578,12706200
2015-07-07,40.88096618652344,41.293525823457124,39.778304348033295,41.23351855370122,32011200
2015-07-08,39.60580062866211,40.363413201012094,39.583298248186665,40.363413201012094,26169400
2015-07-09,40.288394927978516,40.618445057020026,40.205882395718135,40.38590999896275,23540400
2015-07-10,40.92597961425781,41.09850447386056,40.73094952153056,40.918476916069324,16578700
2015-07-13,41.661094665527344,41.77360940701349,41.28603980435718,41.28603980435718,18803900
2015-07-14,41.93862533569336,42.096147656361815,41.43605330457756,41.53356548702514,18174900
2015-07-15,42.3511848449707,42.59872237194207,41.96863023044508,42.20116236148269,20470500
2015-07-16,43.948917388916016,43.993924990744325,43.28882020263795,43.43134284437389,41084000
2015-07-17,44.06894302368164,44.17395791943938,43.76139817405913,43.90391798095302,21055300
2015-07-20,44.14395523071289,44.481505172056075,43.97893304051069,44.22646775653472,16016600
2015-07-21,44.331485748291016,44.48901097285981,44.10645339218916,44.10645339218916,21541700
2015-07-22,45.261634826660156,45.40415468807749,44.27898975489381,44.34649976534252,30156200
2015-07-23,44.90907287597656,45.719192832587964,44.80405796192141,45.22412047958382,29432300
2015-07-24,44.031429290771484,44.83404624633284,43.753889570239984,44.78153880897393,24760800
2015-07-27,43.47636032104492,43.753902988130406,43.07880307014086,43.431355567473354,20378400
2015-07-28,43.783897399902344,43.881412450996955,43.341332612862,43.84390754255782,12566700
2015-07-29,44.19646072387695,44.36898846737633,43.82890858514848,43.92642364420436,14460800
2015-07-30,44.2039680480957,44.3315936169132,43.768533572166966,44.09135489359786,11202100
2015-07-31,43.88865661621094,44.17394119803593,43.82108929061743,44.13640443134436,12529300
2015-08-03,43.87364196777344,44.04631338813546,43.50577763948488,44.00877662090402,10508700
2015-08-04,43.89616012573242,44.19645708508563,43.761025491668505,43.8210837379906,10984500
2015-08-05,44.098854064941406,44.48173354931334,43.993747141198696,44.2490010854036,10631000
2015-08-06,43.618385314941406,44.2640279823867,43.46823825505592,44.15892389491823,14707400
2015-08-07,43.475746154785156,44.00126947645499,43.122894249802094,43.67844813016659,11934000
2015-08-10,44.098854064941406,44.173927575172506,43.70095644187825,43.738493196993794,10812200
2015-08-11,43.27304458618164,43.731000587029236,42.972747588027225,43.5508200970392,18897600
2015-08-12,42.724998474121094,42.97274628234587,41.52380479025697,42.747519960733655,27428700
2015-08-13,43.040306091308594,43.243005163174125,42.417185007687955,42.81507980902042,15837900
2015-08-14,43.23550796508789,43.333105850156024,42.92770189421615,42.92770189421615,8864000
2015-08-17,43.37063980102539,43.430698051410396,42.785058256381696,42.91268382836956,11139200
2015-08-18,43.205482482910156,43.483258027344014,43.09287216894231,43.295571306858854,11593200
2015-08-19,42.79257583618164,43.18296459098341,42.46224821159813,42.92771051530042,17673200
2015-08-20,41.538822174072266,42.27455370070271,41.538822174072266,42.06434264747131,28455500
2015-08-21,40.240013122558594,41.32859617086922,40.2250007120678,40.84061264153739,33437500
2015-08-24,37.79258346557617,39.436717467136,35.36016325320221,36.88418077875471,37767000
